id,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,reviews_per_month,has_license,Dist_Acropolis,Dist_Syntagma
1362,0,1,1,KYPSELI,Entire home/apt,4,1,3,60,2,1125,2,1125,2,1125,1,0,0,0,103,0,1,1.2,1,2.825709958,2.329936849
1363,0,1,0,KYPSELI,Entire home/apt,16,2.5,0,650,1,1,1,1,1,1,1,23,53,83,358,0,0,1.2,1,3.208888825,2.722387523
1364,0,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,4,1,2,74,2,1125,2,1125,2,1125,1,10,40,70,345,120,1,2.47,1,0.707275906,1.37218752
1365,1,1,1,AKROPOLI,Entire home/apt,6,1,3,81,2,1125,2,1125,2,1125,1,10,37,63,324,48,1,2.01,1,1.290962277,2.095042181
1366,1,1,1,KOLONAKI,Entire home/apt,4,1,4,69,1,1125,1,1125,1,1125,1,0,0,0,1,137,1,2.42,0,1.377504072,0.575020758
1367,0,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,4,1.5,1,62,180,365,180,1125,180,1125,1,23,53,83,358,0,1,1.2,1,1.70292973,1.421728322
1368,0,1,1,LYKABITTOS,Entire home/apt,2,1,1,50,2,1125,2,1125,2,1125,1,0,0,21,112,182,1,3.35,0,1.886944054,1.021437679
1369,0,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1,1,35,2,1125,2,1125,2,1125,1,0,0,0,176,64,1,1.2,1,2.340030009,1.657993194
1370,0,1,1,NEOS KOSMOS,Entire home/apt,4,1,2,44,2,50,2,1125,2,1125,1,19,49,64,330,193,1,3.64,1,0.731792435,1.092279778
1371,1,1,1,THISEIO,Entire home/apt,2,1,1,22,2,90,2,1125,2,1125,1,3,15,18,258,229,1,4.12,0,0.69804032,1.329353071
1372,0,1,1,GOYBA,Entire home/apt,2,1,1,20,2,1125,2,1125,2,1125,1,0,24,54,329,121,1,2.16,1,1.927953218,1.720136912
1373,1,1,1,ZAPPEIO,Private room,8,2.5,4,292,1,1125,4,1125,1.2,1125,1,20,46,67,335,79,1,1.51,1,0.620288866,0.835754934
1374,0,1,1,ELLINOROSON,Entire home/apt,6,1,3,30,1,1125,1,1125,1,1125,1,3,3,30,305,264,1,5.04,1,5.3490333,4.496273615
1375,1,1,1,KERAMEIKOS,Entire home/apt,7,1.5,4,46,2,1125,2,1125,2,1125,1,24,54,84,342,173,0,3.12,1,1.338632028,1.703384422
1376,1,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,6,1,3,60,1,28,1,28,1,28,1,13,43,73,348,319,1,5.96,1,0.661281917,1.244976889
1377,1,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,4,1,2,47,1,28,1,28,1,28,1,7,37,67,339,329,1,5.98,1,0.606188898,1.227484365
1378,0,1,1,NEOS KOSMOS,Entire home/apt,6,1,3,69,2,60,2,1125,2,1125,1,15,45,63,153,253,0,4.46,1,0.951946716,1.209054337
1379,0,1,0,PETRALONA,Entire home/apt,2,1,1,60,3,1125,3,1125,3,1125,1,0,0,0,267,52,0,0.93,1,1.200449297,1.903776758
1380,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,3,1.5,2,50,2,1125,2,1125,2,1125,1,11,38,61,336,148,1,2.77,1,0.528849271,0.845967708
1381,0,1,1,NEOS KOSMOS,Entire home/apt,4,1,1,53,2,30,2,1125,2,1125,1,6,11,41,41,229,1,4.14,1,1.245638662,1.539791323
1382,1,1,1,KERAMEIKOS,Entire home/apt,2,1,1,50,3,1125,3,1125,3,1125,1,14,44,74,164,29,1,0.56,1,0.96986828,1.248217438
1383,0,1,0,NEOS KOSMOS,Entire home/apt,5,2,3,50,2,1125,2,1125,2,1125,0,0,0,0,0,81,0,1.47,0,0.817534998,1.174340292
1384,0,1,1,ZAPPEIO,Entire home/apt,4,2,2,192,2,730,2,730,2,730,1,0,0,0,0,41,1,0.74,1,0.751765452,0.961483966
1385,1,1,1,STADIO,Entire home/apt,5,1,2,69,1,1125,1,1125,1,1125,1,13,39,69,333,273,1,4.92,1,0.98918268,1.09761061
1386,0,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,4,1,0,70,2,1125,2,1125,2,1125,1,30,60,90,365,202,0,3.63,1,0.894927947,1.526326858
1387,0,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,6,1,5,68,2,60,2,60,2,60,1,27,57,87,177,1,0,0.02,0,0.858099762,1.441273162
1388,0,1,0,NEOS KOSMOS,Entire home/apt,2,1,1,50,3,30,3,30,3,30,1,23,53,83,358,0,0,1.2,0,1.523565751,1.862178497
1389,0,1,1,STADIO,Entire home/apt,2,1,2,44,2,180,2,180,2,180,1,18,45,71,346,60,1,1.12,1,1.410139733,0.878096659
1390,0,1,1,STADIO,Entire home/apt,4,1,3,63,2,180,2,180,2,180,1,0,0,0,0,27,1,0.56,1,1.410139733,0.878096659
1391,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,2,52,4,14,4,14,4,14,1,30,60,90,180,1,1,0.04,0,0.706380712,1.053495711
1392,0,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,4,1,2,30,1,360,1,1125,1,1125,1,0,0,0,55,18,1,0.32,1,1.237401987,1.969449438
1393,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,1,86,2,1000,1,1125,1,1125,1,12,42,69,297,258,1,4.66,1,0.557215089,0.409595357
1394,0,1,1,PLATEIA ATTIKIS,Entire home/apt,4,1,2,25,1,1125,1,1125,1,1125,1,20,50,80,170,171,1,3.23,1,2.502559968,2.241695585
1395,0,1,0,KOLONAKI,Entire home/apt,3,1,1,45,3,16,3,16,3,16,0,0,0,0,0,0,0,1.2,0,1.971526466,1.105667436
1396,1,1,0,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1,1,28,2,1125,2,1125,2,1125,1,16,39,52,142,201,1,3.63,1,1.677039107,1.140911629
